program,sport,conference,sport_revenue_usd_m,tier,multiple,value_usd_m,justification,flag_vs_brief_range
Texas,CBB,Southeastern,17.4,Standard power conference,5.0,87,"Remaining SEC / Big East program, not in a higher basketball tier.",inside
Auburn,CBB,Southeastern,26.6,Upper high-major,6.5,173,Top 15 of all Power 4 / Big East programs by men's basketball revenue (rank 9).,inside
Iowa State,CBB,Big 12,14.4,Standard power conference,5.0,72,"Remaining Big 12 / Big East program, not in a higher basketball tier.",inside
Virginia,CBB,Atlantic Coast,17.8,Standard power conference,5.0,89,"Remaining ACC / Big East program, not in a higher basketball tier.",inside
Ohio State,CBB,Big Ten,23.4,Upper high-major,6.5,152,Top 15 of all Power 4 / Big East programs by men's basketball revenue (rank 13).,inside
Houston,CBB,Big 12,14.6,Upper high-major,6.5,95,Named upper high-major brand in the brief.,below (< $125M)
Louisville,CBB,Atlantic Coast,22.8,Upper high-major,6.5,148,Named upper high-major brand in the brief.,inside
North Carolina State,CBB,Atlantic Coast,19.0,Standard power conference,5.0,95,"Remaining ACC / Big East program, not in a higher basketball tier.",inside
Tennessee,CBB,Southeastern,35.3,Upper high-major,6.5,230,Top 15 of all Power 4 / Big East programs by men's basketball revenue (rank 4).,above (> $225M)
BYU,CBB,Big 12,28.0,Upper high-major,6.5,182,Top 15 of all Power 4 / Big East programs by men's basketball revenue (rank 8).,inside
Georgetown,CBB,Big East,17.5,Standard power conference,5.0,87,"Remaining Big East / Big East program, not in a higher basketball tier.",inside
Saint Mary's,CBB,West Coast Conference,8.3,Top mid-major,4.0,33,Named top mid-major brand in the brief.,inside
Syracuse,CBB,Atlantic Coast,31.6,Upper high-major,6.5,205,Top 15 of all Power 4 / Big East programs by men's basketball revenue (rank 7).,inside
Vanderbilt,CBB,Southeastern,13.3,Standard power conference,5.0,67,"Remaining SEC / Big East program, not in a higher basketball tier.",inside
Alabama,CBB,Southeastern,24.4,Upper high-major,6.5,159,Top 15 of all Power 4 / Big East programs by men's basketball revenue (rank 12).,inside
Marquette,CBB,Big East,25.7,Upper high-major,6.5,167,Named upper high-major brand in the brief.,inside
Wake Forest,CBB,Atlantic Coast,13.1,Standard power conference,5.0,65,"Remaining ACC / Big East program, not in a higher basketball tier.",inside
Xavier,CBB,Big East,16.0,Standard power conference,5.0,80,"Remaining Big East / Big East program, not in a higher basketball tier.",inside
Wisconsin,CBB,Big Ten,19.9,Standard power conference,5.0,99,"Remaining Big Ten / Big East program, not in a higher basketball tier.",inside
Creighton,CBB,Big East,19.8,Standard power conference,5.0,99,"Remaining Big East / Big East program, not in a higher basketball tier.",inside
Maryland,CBB,Big Ten,16.5,Standard power conference,5.0,82,"Remaining Big Ten / Big East program, not in a higher basketball tier.",inside
Miami (FL),CBB,Atlantic Coast,17.9,Standard power conference,5.0,89,"Remaining ACC / Big East program, not in a higher basketball tier.",inside
Providence,CBB,Big East,12.5,Standard power conference,5.0,63,"Remaining Big East / Big East program, not in a higher basketball tier.",inside
Seton Hall,CBB,Big East,9.8,Standard power conference,5.0,49,"Remaining Big East / Big East program, not in a higher basketball tier.",below (< $50M)
Utah State,CBB,Mountain West,5.7,Top mid-major,4.0,23,Non-power-conference program in the index (mid-major tier).,below (< $30M)
California,CBB,Atlantic Coast,13.2,Standard power conference,5.0,66,"Remaining ACC / Big East program, not in a higher basketball tier.",inside
Wichita State,CBB,American Athletic Conference,6.8,Top mid-major,4.0,27,Non-power-conference program in the index (mid-major tier).,below (< $30M)
Butler,CBB,Big East,12.9,Standard power conference,5.0,65,"Remaining Big East / Big East program, not in a higher basketball tier.",inside
LSU,CBB,Southeastern,13.6,Standard power conference,5.0,68,"Remaining SEC / Big East program, not in a higher basketball tier.",inside
USC,CBB,Big Ten,13.1,Standard power conference,5.0,65,"Remaining Big Ten / Big East program, not in a higher basketball tier.",inside
Rutgers,CBB,Big Ten,16.1,Standard power conference,5.0,80,"Remaining Big Ten / Big East program, not in a higher basketball tier.",inside
Cincinnati,CBB,Big 12,12.3,Standard power conference,5.0,62,"Remaining Big 12 / Big East program, not in a higher basketball tier.",inside
Georgia,CBB,Southeastern,16.1,Standard power conference,5.0,80,"Remaining SEC / Big East program, not in a higher basketball tier.",inside
West Virginia,CBB,Big 12,10.2,Standard power conference,5.0,51,"Remaining Big 12 / Big East program, not in a higher basketball tier.",inside
Missouri,CBB,Southeastern,18.9,Standard power conference,5.0,94,"Remaining SEC / Big East program, not in a higher basketball tier.",inside
Arizona State,CBB,Big 12,10.1,Standard power conference,5.0,50,"Remaining Big 12 / Big East program, not in a higher basketball tier.",inside
Baylor,CBB,Big 12,18.4,Standard power conference,5.0,92,"Remaining Big 12 / Big East program, not in a higher basketball tier.",inside
Notre Dame,CBB,Atlantic Coast,13.2,Standard power conference,5.0,66,"Remaining ACC / Big East program, not in a higher basketball tier.",inside
Texas A&M,CBB,Southeastern,15.7,Standard power conference,5.0,79,"Remaining SEC / Big East program, not in a higher basketball tier.",inside
DePaul,CBB,Big East,12.7,Standard power conference,5.0,64,"Remaining Big East / Big East program, not in a higher basketball tier.",inside
Clemson,CBB,Atlantic Coast,12.6,Standard power conference,5.0,63,"Remaining ACC / Big East program, not in a higher basketball tier.",inside
Penn State,CBB,Big Ten,15.2,Standard power conference,5.0,76,"Remaining Big Ten / Big East program, not in a higher basketball tier.",inside
Texas Tech,CBB,Big 12,16.0,Standard power conference,5.0,80,"Remaining Big 12 / Big East program, not in a higher basketball tier.",inside
TCU,CBB,Big 12,15.6,Standard power conference,5.0,78,"Remaining Big 12 / Big East program, not in a higher basketball tier.",inside
Oklahoma State,CBB,Big 12,18.1,Standard power conference,5.0,90,"Remaining Big 12 / Big East program, not in a higher basketball tier.",inside
Central Florida,CBB,Big 12,7.8,Standard power conference,5.0,39,"Remaining Big 12 / Big East program, not in a higher basketball tier.",below (< $50M)
Washington,CBB,Big Ten,13.5,Standard power conference,5.0,67,"Remaining Big Ten / Big East program, not in a higher basketball tier.",inside
Pittsburgh,CBB,Atlantic Coast,13.9,Standard power conference,5.0,69,"Remaining ACC / Big East program, not in a higher basketball tier.",inside
Kansas State,CBB,Big 12,10.9,Standard power conference,5.0,55,"Remaining Big 12 / Big East program, not in a higher basketball tier.",inside
SMU,CBB,Atlantic Coast,16.7,Standard power conference,5.0,84,"Remaining ACC / Big East program, not in a higher basketball tier.",inside
Minnesota,CBB,Big Ten,16.0,Standard power conference,5.0,80,"Remaining Big Ten / Big East program, not in a higher basketball tier.",inside
Georgia Tech,CBB,Atlantic Coast,14.5,Standard power conference,5.0,73,"Remaining ACC / Big East program, not in a higher basketball tier.",inside
Oregon,CBB,Big Ten,11.6,Standard power conference,5.0,58,"Remaining Big Ten / Big East program, not in a higher basketball tier.",inside
Stanford,CBB,Atlantic Coast,10.8,Standard power conference,5.0,54,"Remaining ACC / Big East program, not in a higher basketball tier.",inside
San Diego State,CBB,Mountain West,15.3,Top mid-major,4.0,61,Named top mid-major brand in the brief.,inside
Florida Atlantic,CBB,American Athletic Conference,4.8,Top mid-major,4.0,19,Non-power-conference program in the index (mid-major tier).,below (< $30M)
Florida State,CBB,Atlantic Coast,14.6,Standard power conference,5.0,73,"Remaining ACC / Big East program, not in a higher basketball tier.",inside
Loyola Chicago,CBB,Atlantic 10,7.0,Top mid-major,4.0,28,Non-power-conference program in the index (mid-major tier).,below (< $30M)
Boston College,CBB,Atlantic Coast,10.0,Standard power conference,5.0,50,"Remaining ACC / Big East program, not in a higher basketball tier.",inside
Utah,CBB,Big 12,17.0,Standard power conference,5.0,85,"Remaining Big 12 / Big East program, not in a higher basketball tier.",inside
George Mason,CBB,CAA,5.8,Top mid-major,4.0,23,Non-power-conference program in the index (mid-major tier).,below (< $30M)
South Carolina,CBB,Southeastern,15.4,Standard power conference,5.0,77,"Remaining SEC / Big East program, not in a higher basketball tier.",inside
Virginia Tech,CBB,Atlantic Coast,8.5,Standard power conference,5.0,42,"Remaining ACC / Big East program, not in a higher basketball tier.",below (< $50M)
Mississippi,CBB,Southeastern,18.2,Standard power conference,5.0,91,"Remaining SEC / Big East program, not in a higher basketball tier.",inside
Northwestern,CBB,Big Ten,14.4,Standard power conference,5.0,72,"Remaining Big Ten / Big East program, not in a higher basketball tier.",inside
Colorado,CBB,Big 12,11.9,Standard power conference,5.0,60,"Remaining Big 12 / Big East program, not in a higher basketball tier.",inside
Mississippi State,CBB,Southeastern,12.2,Standard power conference,5.0,61,"Remaining SEC / Big East program, not in a higher basketball tier.",inside
Memphis Tigers,CBB,American Athletic Conference,9.3,Top mid-major,4.0,37,Non-power-conference program in the index (mid-major tier).,inside
Boise State,CBB,Mountain West,6.1,Top mid-major,4.0,24,Non-power-conference program in the index (mid-major tier).,below (< $30M)
Colorado State Rams,CBB,Mountain West,7.0,Top mid-major,4.0,28,Non-power-conference program in the index (mid-major tier).,below (< $30M)
Dayton Flyers,CBB,Atlantic 10,19.1,Top mid-major,4.0,76,Named top mid-major brand in the brief.,above (> $65M)
Oklahoma,CBB,Southeastern,9.8,Standard power conference,5.0,49,"Remaining SEC / Big East program, not in a higher basketball tier.",below (< $50M)
