company_key,company,from_year,to_year,city,state,country,provenance,basis,note
general electric,General Electric,1974,1995,Fairfield,Connecticut,United States,claude,inferred,🔴 RULING NEEDED on the start year. Fairfield is the right era for most of this span; Boston would be wrong for all of it.
union carbide,Union Carbide Corporation,1955,1981,New York,New York,United States,claude,inferred,"Source dates the BUILDING from 1960; the company was in New York before that too. Infobox says Seadrift, Texas, which is a Dow plant site, not this era's HQ."
union carbide,Union Carbide Corporation,1982,2001,Danbury,Connecticut,United States,claude,inferred,🔴 RULING NEEDED. Union Carbide moved to Danbury in the early 1980s; neither the city nor the boundary is supported by this extract.
chevrontexaco,ChevronTexaco Corporation,1955,2001,San Francisco,California,United States,claude,inferred,🔴 Fortune back-names these rows; the company was Standard Oil Co. of California until 1984. Era-name row already in era_names.csv. City confident
chevrontexaco,ChevronTexaco Corporation,2002,2005,San Ramon,California,United States,claude,inferred,🔴 RULING NEEDED on the 2002 boundary. Both San Francisco and San Ramon are in the same metro
borden chemical,"Borden Chemical, Inc.",1955,1986,New York,New York,United States,claude,inferred,🔴 RULING NEEDED. Borden was a New York company before the Columbus move; neither bound is in the extract.
borden chemical,"Borden Chemical, Inc.",1987,2005,Columbus,Ohio,United States,claude,inferred,🔴 RULING NEEDED on the start year. Columbus is right for the later span. Note the listing runs to 2005 but the company is marked defunct 2001.
nabisco group holdings,Nabisco Group Holdings Corp.,1955,1986,Winston-Salem,North Carolina,United States,claude,inferred,The source confirms a headquarters move was announced in August 1986 but the extract truncates before the destination.
nabisco group holdings,Nabisco Group Holdings Corp.,1987,1990,Atlanta,Georgia,United States,claude,inferred,🔴 RULING NEEDED. The infobox naming all three in order supports the sequence; the boundaries are mine. Cobb County is metro Atlanta.
nabisco group holdings,Nabisco Group Holdings Corp.,1991,2000,New York,New York,United States,claude,inferred,🔴 RULING NEEDED on the start year. This is a three-metro company across one Fortune key and is the strongest argument for the spans table.
bestfoods,Bestfoods,1955,1967,New York,New York,United States,gemini_r2,confirmed,round 2; article: Bestfoods) moved from NYC to an international corporate campus in Engl
bestfoods,Bestfoods,1968,2000,Englewood Cliffs,New Jersey,United States,gemini_r2,confirmed,round 2; article: Bestfoods) moved from NYC to an international corporate campus in Engl
kraft,Kraft,1955,1971,New York,New York,United States,gemini_r2,confirmed,round 2; article: Kraft) was based at 260 Madison Ave in NYC before constructing its sub
kraft,Kraft,1972,1988,Glenview,Illinois,United States,gemini_r2,confirmed,round 2; article: Kraft) was based at 260 Madison Ave in NYC before constructing its sub
georgia pacific,Georgia-Pacific Corporation,1955,1981,Portland,Oregon,United States,gemini_r2,confirmed,"round 2; article: Atlanta, GAConfirmed. Founded in Augusta, GA, G-P moved executive oper"
georgia pacific,Georgia-Pacific Corporation,1982,2005,Atlanta,Georgia,United States,gemini_r2,confirmed,"round 2; article: Atlanta, GAConfirmed. Founded in Augusta, GA, G-P moved executive oper"
general foods,General Foods,1955,1982,White Plains,New York,United States,gemini_r2,confirmed,"round 2; article: Rye Brook, NYConfirmed. General Foods moved from NYC to White Plains ("
general foods,General Foods,1983,1986,Rye Brook,New York,United States,gemini_r2,confirmed,"round 2; article: Rye Brook, NYConfirmed. General Foods moved from NYC to White Plains ("
citgo petroleum,Citgo Petroleum,1955,1969,New York,New York,United States,gemini_r2,confirmed,"round 2; article: Tulsa, OKConfirmed. Cities Service Company was based at 70 Pine Street"
citgo petroleum,Citgo Petroleum,1970,1994,Tulsa,Oklahoma,United States,gemini_r2,confirmed,"round 2; article: Tulsa, OKConfirmed. Cities Service Company was based at 70 Pine Street"
honeywell,Honeywell,1955,1995,Minneapolis,Minnesota,United States,gemini_r2,confirmed,"round 2; article: Minneapolis, MNConfirmed. Minneapolis-Honeywell Regulator Co. (Honeywe"
at and t technologies,AT&T Technologies,1955,1983,New York,New York,United States,gemini_r2,confirmed,"round 2; article: Berkeley Heights, NJConfirmed. Formerly Western Electric (195 Broadway"
at and t technologies,AT&T Technologies,1984,1984,Berkeley Heights,New Jersey,United States,gemini_r2,confirmed,"round 2; article: Berkeley Heights, NJConfirmed. Formerly Western Electric (195 Broadway"
tenneco automotive,Tenneco Automotive Inc.,1966,1995,Houston,Texas,United States,gemini_r2,confirmed,"round 2; article: Lake Forest, ILConfirmed. Tenneco Inc. was based in Houston, shifted e"
tenneco automotive,Tenneco Automotive Inc.,1996,1999,Greenwich,Connecticut,United States,gemini_r2,confirmed,"round 2; article: Lake Forest, ILConfirmed. Tenneco Inc. was based in Houston, shifted e"
tenneco automotive,Tenneco Automotive Inc.,2000,2005,Lake Forest,Illinois,United States,gemini_r2,confirmed,"round 2; article: Lake Forest, ILConfirmed. Tenneco Inc. was based in Houston, shifted e"
continental group,Continental Group,1955,1977,New York,New York,United States,gemini_r2,wrong_target_fixed,"round 2; article: Stamford, CTConfirmed (Wrong Target Fixed). Continental Can Co. was ba"
continental group,Continental Group,1978,1984,Stamford,Connecticut,United States,gemini_r2,wrong_target_fixed,"round 2; article: Stamford, CTConfirmed (Wrong Target Fixed). Continental Can Co. was ba"
bendix,Bendix,1955,1967,Detroit,Michigan,United States,gemini_r2,confirmed,"round 2; article: Southfield, MIConfirmed. Bendix moved from Detroit's Fisher Building t"
bendix,Bendix,1968,1983,Southfield,Michigan,United States,gemini_r2,confirmed,"round 2; article: Southfield, MIConfirmed. Bendix moved from Detroit's Fisher Building t"
esmark,Esmark,1955,1984,Chicago,Illinois,United States,gemini_r2,confirmed,round 2; article: Chicago until the 1984 Beatrice acquisition.Esmark
national intergroup,National Intergroup,1955,1985,Pittsburgh,Pennsylvania,United States,gemini_r2,wrong_target_fixed,round 2; article: National Steel Center.National Steel Corporation
ncr,NCR,1955,1991,Dayton,Ohio,United States,gemini_r2,wrong_target_fixed,"round 2; article: Dayton, OHConfirmed (Wrong Target Fixed). National Cash Register (NCR)"
uniroyal,Uniroyal,1955,1971,New York,New York,United States,gemini_r2,confirmed,round 2; article: Uniroyal moved from Rockefeller Center in NYC to its Oxford Management
uniroyal,Uniroyal,1972,1986,Middlebury,Connecticut,United States,gemini_r2,confirmed,round 2; article: Uniroyal moved from Rockefeller Center in NYC to its Oxford Management
beatrice,Beatrice,1955,1991,Chicago,Illinois,United States,gemini_r2,confirmed,"round 2; article: Chicago, ILConfirmed. Beatrice Foods was based at 120 S. LaSalle St an"
bp america,BP America,1955,1988,Cleveland,Ohio,United States,gemini_r2,confirmed,round 2; article: BP America after BP completed its buyout in 1987.Standard Oil of Ohio
martin marietta,Martin Marietta,1955,1960,Baltimore,Maryland,United States,gemini_r2,confirmed,round 2; article: Park Ave (NYC) before moving to Bethesda in 1976.Martin Marietta
martin marietta,Martin Marietta,1961,1975,New York,New York,United States,gemini_r2,confirmed,round 2; article: Park Ave (NYC) before moving to Bethesda in 1976.Martin Marietta
martin marietta,Martin Marietta,1976,1995,Bethesda,Maryland,United States,gemini_r2,confirmed,round 2; article: Park Ave (NYC) before moving to Bethesda in 1976.Martin Marietta
singer,Singer,1955,1978,New York,New York,United States,gemini_r2,wrong_target_fixed,"round 2; article: Stamford, CTConfirmed (Wrong Target Fixed). The Singer Company moved f"
singer,Singer,1979,1988,Stamford,Connecticut,United States,gemini_r2,wrong_target_fixed,"round 2; article: Stamford, CTConfirmed (Wrong Target Fixed). The Singer Company moved f"
american motors,American Motors,1955,1974,Detroit,Michigan,United States,gemini_r2,confirmed,"round 2; article: Southfield, MIConfirmed. AMC was based at the Plymouth Road complex in"
american motors,American Motors,1975,1987,Southfield,Michigan,United States,gemini_r2,confirmed,"round 2; article: Southfield, MIConfirmed. AMC was based at the Plymouth Road complex in"
signal companies,Signal Companies,1958,1977,Los Angeles,California,United States,gemini_r2,wrong_target_fixed,"round 2; article: La Jolla, CAConfirmed (Wrong Target Fixed). Signal Oil & Gas moved fro"
signal companies,Signal Companies,1978,1985,La Jolla,California,United States,gemini_r2,wrong_target_fixed,"round 2; article: La Jolla, CAConfirmed (Wrong Target Fixed). Signal Oil & Gas moved fro"
gulf and western industries,Gulf & Western Industries,1966,1966,Houston,Texas,United States,gemini_r2,confirmed,round 2; article: Western Plaza at Columbus Circle in NYC in 1967.Gulf and Western Indus
gulf and western industries,Gulf & Western Industries,1967,1985,New York,New York,United States,gemini_r2,confirmed,round 2; article: Western Plaza at Columbus Circle in NYC in 1967.Gulf and Western Indus
armour,Armour,1955,1970,Chicago,Illinois,United States,gemini_r2,confirmed,"round 2; article: Chicago, ILConfirmed. Armour and Company was based at the Union Stock "
anaconda,Anaconda,1955,1977,New York,New York,United States,gemini_r2,confirmed,"round 2; article: New York, NYConfirmed. Anaconda Copper Mining Co. maintained exec"
coastal,The Coastal Corporation,1966,1973,Corpus Christi,Texas,United States,gemini_r2,wrong_target_fixed,"round 2; article: Houston, TXConfirmed (Wrong Target Fixed). Coastal States Gas Producin"
coastal,The Coastal Corporation,1974,2000,Houston,Texas,United States,gemini_r2,wrong_target_fixed,"round 2; article: Houston, TXConfirmed (Wrong Target Fixed). Coastal States Gas Producin"
wilson,Wilson,1955,1967,Chicago,Illinois,United States,gemini_r2,confirmed,"round 2; article: Chicago, ILConfirmed. Wilson & Co. (meatpacking and sports equipment) "
gencorp,"GenCorp, Inc.",1955,1983,Akron,Ohio,United States,gemini_r2,wrong_target_fixed,"round 2; article: Rancho Cordova, CAConfirmed (Wrong Target Fixed). General Tire was in "
gencorp,"GenCorp, Inc.",1984,1998,Fairlawn,Ohio,United States,gemini_r2,wrong_target_fixed,"round 2; article: Rancho Cordova, CAConfirmed (Wrong Target Fixed). General Tire was in "
gencorp,"GenCorp, Inc.",1999,2004,Rancho Cordova,California,United States,gemini_r2,wrong_target_fixed,"round 2; article: Rancho Cordova, CAConfirmed (Wrong Target Fixed). General Tire was in "
chiquita brands intl,Chiquita Brands Intl.,1968,1969,Boston,Massachusetts,United States,gemini_r2,confirmed,round 2; article: Carl Lindner took control and relocated it to Cincinnati in 1985 as Ch
chiquita brands intl,Chiquita Brands Intl.,1970,1984,New York,New York,United States,gemini_r2,confirmed,round 2; article: Carl Lindner took control and relocated it to Cincinnati in 1985 as Ch
chiquita brands intl,Chiquita Brands Intl.,1985,1995,Cincinnati,Ohio,United States,gemini_r2,confirmed,round 2; article: Carl Lindner took control and relocated it to Cincinnati in 1985 as Ch
nabisco brands,Nabisco Brands,1955,1974,New York,New York,United States,gemini_r2,confirmed,"round 2; article: East Hanover, NJConfirmed. Nabisco moved executive offices from Park A"
nabisco brands,Nabisco Brands,1975,1985,East Hanover,New Jersey,United States,gemini_r2,confirmed,"round 2; article: East Hanover, NJConfirmed. Nabisco moved executive offices from Park A"
tidewater oil,Tidewater Oil,1955,1957,San Francisco,California,United States,gemini_r2,confirmed,"round 2; article: Los Angeles, CAConfirmed. Tidewater Associated Oil had its corporate h"
tidewater oil,Tidewater Oil,1958,1967,Los Angeles,California,United States,gemini_r2,confirmed,"round 2; article: Los Angeles, CAConfirmed. Tidewater Associated Oil had its corporate h"
nl industries,NL Industries,1955,1985,New York,New York,United States,gemini_r2,confirmed,round 2; article: Ave of the Americas) until Valhi acquired control and moved HQ to Hous
nl industries,NL Industries,1986,1993,Houston,Texas,United States,gemini_r2,confirmed,round 2; article: Ave of the Americas) until Valhi acquired control and moved HQ to Hous
sbc communications,SBC Communications Inc.,1995,1997,St. Louis,Missouri,United States,gemini_r2,wrong_target_fixed,"round 2; article: San Antonio, TXConfirmed (Wrong Target Fixed). Southwestern Bell was b"
sbc communications,SBC Communications Inc.,1998,2005,San Antonio,Texas,United States,gemini_r2,wrong_target_fixed,"round 2; article: San Antonio, TXConfirmed (Wrong Target Fixed). Southwestern Bell was b"
allis chalmers,Allis-Chalmers,1955,1988,West Allis,Wisconsin,United States,gemini_r2,confirmed,"round 2; article: West Allis, WIConfirmed. Allis-Chalmers was continuously headquartered"
sprint,Sprint Corporation,1995,2002,Westwood,Kansas,United States,gemini_r2,confirmed,"round 2; article: Sprint was based in Westwood, KS before transitioning to its Overland "
sprint,Sprint Corporation,2003,2005,Overland Park,Kansas,United States,gemini_r2,confirmed,"round 2; article: Sprint was based in Westwood, KS before transitioning to its Overland "
amax,AMAX,1955,1973,New York,New York,United States,gemini_r2,confirmed,"round 2; article: Greenwich, CTConfirmed. American Metal Climax (AMAX) moved from Rockef"
amax,AMAX,1974,1993,Greenwich,Connecticut,United States,gemini_r2,confirmed,"round 2; article: Greenwich, CTConfirmed. American Metal Climax (AMAX) moved from Rockef"
north american philips,North American Philips,1960,1993,New York,New York,United States,gemini_r2,confirmed,"round 2; article: New York, NYConfirmed. North American Philips Corporation (NAPC) "
j p stevens,J.P. Stevens,1955,1988,New York,New York,United States,gemini_r2,confirmed,"round 2; article: New York, NYConfirmed. The textile manufacturer maintained execut"
morrell john,Morrell (John),1955,1967,Chicago,Illinois,United States,gemini_r2,confirmed,"round 2; article: Chicago, ILConfirmed. John Morrell & Co. maintained its central execut"
whitman,Whitman Corporation,1970,1992,Chicago,Illinois,United States,gemini_r2,wrong_target_fixed,round 2; article: Whitman was based at One Illinois Center in Chicago before moving to s
whitman,Whitman Corporation,1993,2000,Rolling Meadows,Illinois,United States,gemini_r2,wrong_target_fixed,round 2; article: Whitman was based at One Illinois Center in Chicago before moving to s
american standard,American Standard,1955,1987,New York,New York,United States,gemini_r2,confirmed,"round 2; article: Piscataway, NJConfirmed. American Standard moved corporate offices fro"
american standard,American Standard,1988,1995,Piscataway,New Jersey,United States,gemini_r2,confirmed,"round 2; article: Piscataway, NJConfirmed. American Standard moved corporate offices fro"
kmart,Kmart Corporation,1996,2003,Troy,Michigan,United States,gemini_r2,confirmed,"round 2; article: Kmart was headquartered at 3100 W. Big Beaver Rd in Troy, MI from 1972"
kennecott,Kennecott,1955,1973,New York,New York,United States,gemini_r2,confirmed,"round 2; article: Stamford, CTConfirmed. Kennecott Copper moved from East 42nd St in Man"
kennecott,Kennecott,1974,1981,Stamford,Connecticut,United States,gemini_r2,confirmed,"round 2; article: Stamford, CTConfirmed. Kennecott Copper moved from East 42nd St in Man"
hanson industries na,Hanson Industries NA,1983,1987,Iselin,New Jersey,United States,gemini_r2,wrong_target_fixed,"round 2; article: New York, NYConfirmed (Wrong Target Fixed). The North American ar"
hanson industries na,Hanson Industries NA,1988,1994,New York,New York,United States,gemini_r2,wrong_target_fixed,"round 2; article: New York, NYConfirmed (Wrong Target Fixed). The North American ar"
hoechst celanese,Hoechst Celanese,1982,1986,New York,New York,United States,gemini_r2,confirmed,"round 2; article: Bridgewater, NJ.Celanese"
hoechst celanese,Hoechst Celanese,1987,1994,Somerville,New Jersey,United States,gemini_r2,confirmed,"round 2; article: Bridgewater, NJ.Celanese"
gte,GTE Corporation,1995,1999,Stamford,Connecticut,United States,gemini_r2,confirmed,round 2; article: Verizon merger.GTE
gte,GTE Corporation,2000,2000,Irving,Texas,United States,gemini_r2,confirmed,round 2; article: Verizon merger.GTE
bank one,Bank One Corporation,1995,1997,Columbus,Ohio,United States,gemini_r2,confirmed,"round 2; article: First Chicago NBD in 1998, it formed Bank One Corp and moved HQ to Chi"
bank one,Bank One Corporation,1998,2004,Chicago,Illinois,United States,gemini_r2,confirmed,"round 2; article: First Chicago NBD in 1998, it formed Bank One Corp and moved HQ to Chi"
asarco,"Asarco, Inc.",1955,1999,New York,New York,United States,gemini_r2,confirmed,round 2; article: ASARCO
bayer,Bayer Corporation,1987,1994,Pittsburgh,Pennsylvania,United States,gemini_r2,confirmed,round 2; article: Bayer USA) were headquartered at the Bayer Road campus in Robinson Tow
st regis,St. Regis,1955,1984,New York,New York,United States,gemini_r2,wrong_target_fixed,"round 2; article: New York, NYConfirmed (Wrong Target Fixed). St. Regis Paper Compa"
unilever u s,Unilever U.S.,1989,1993,New York,New York,United States,gemini_r2,confirmed,"round 2; article: New York, NYConfirmed. Unilever United States was headquartered a"
charter,Charter,1974,1984,Jacksonville,Florida,United States,gemini_r2,wrong_target_fixed,"round 2; article: Jacksonville, FLConfirmed (Wrong Target Fixed). The Charter Company (o"
foremost dairies,Foremost Dairies,1955,1967,San Francisco,California,United States,gemini_r2,confirmed,"round 2; article: San Francisco, CAConfirmed. Foremost Dairies maintained corporate head"
agway,Agway,1961,2003,DeWitt,New York,United States,gemini_r2,confirmed,"round 2; article: DeWitt, NYConfirmed. Agway Inc. (formed from GLF and Eastern States) w"
rapid american,Rapid-American,1970,1973,New York,New York,United States,gemini_r2,confirmed,"round 2; article: New York, NYConfirmed. Meshulam Riklis's conglomerate was based a"
fort james,Fort James Corp,1982,1996,Richmond,Virginia,United States,gemini_r2,wrong_target_fixed,"round 2; article: Fort Howard in 1997 to form Fort James, HQ relocated to Deerfield, IL."
fort james,Fort James Corp,1997,2000,Deerfield,Illinois,United States,gemini_r2,wrong_target_fixed,"round 2; article: Fort Howard in 1997 to form Fort James, HQ relocated to Deerfield, IL."
cooper industries,Cooper Industries,1964,1966,Mount Vernon,Ohio,United States,gemini_r2,confirmed,round 2; article: Cooper Industries and moved HQ to Houston in 1967.Cooper Industries
cooper industries,Cooper Industries,1967,2002,Houston,Texas,United States,gemini_r2,confirmed,round 2; article: Cooper Industries and moved HQ to Houston in 1967.Cooper Industries
u s industries,"U.S. Industries, Inc.",1955,1983,New York,New York,United States,gemini_r2,wrong_target_fixed,"round 2; article: Iselin, NJConfirmed (Wrong Target Fixed). USI was in NYC (250 Park Ave"
u s industries,"U.S. Industries, Inc.",1984,1994,Iselin,New Jersey,United States,gemini_r2,wrong_target_fixed,"round 2; article: Iselin, NJConfirmed (Wrong Target Fixed). USI was in NYC (250 Park Ave"
u s industries,"U.S. Industries, Inc.",1995,2003,Iselin,New Jersey,United States,gemini_r2,wrong_target_fixed,"round 2; article: Iselin, NJConfirmed (Wrong Target Fixed). USI was in NYC (250 Park Ave"
basf,BASF,1982,1985,Parsippany,New Jersey,United States,gemini_r2,confirmed,"round 2; article: Mount Olive, NJConfirmed. BASF Corporation operated in Parsippany, NJ "
basf,BASF,1986,1994,Mount Olive,New Jersey,United States,gemini_r2,confirmed,"round 2; article: Mount Olive, NJConfirmed. BASF Corporation operated in Parsippany, NJ "
carnation,Carnation,1955,1984,Los Angeles,California,United States,gemini_r2,wrong_target_fixed,round 2; article: Carnation (brand)
united merchants and mfrs,United Merchants & Mfrs.,1955,1989,New York,New York,United States,gemini_r2,wrong_target_fixed,"round 2; article: New York, NYConfirmed (Wrong Target Fixed). United Merchants and "
fleming companies,"Fleming Companies, Inc.",1996,1999,Oklahoma City,Oklahoma,United States,gemini_r2,confirmed,"round 2; article: Lewisville, TXConfirmed. The grocery wholesaler was based in Oklahoma "
fleming companies,"Fleming Companies, Inc.",2000,2003,Lewisville,Texas,United States,gemini_r2,confirmed,"round 2; article: Lewisville, TXConfirmed. The grocery wholesaler was based in Oklahoma "
ogden,Ogden Corporation,1957,2000,New York,New York,United States,gemini_r2,wrong_target_fixed,"round 2; article: New York, NYConfirmed (Wrong Target Fixed). Ogden Corp. was headq"
iowa beef processors,Iowa Beef Processors,1964,1967,Denison,Iowa,United States,gemini_r2,wrong_target_fixed,"round 2; article: Dakota City, NEConfirmed (Wrong Target Fixed). Iowa Beef Packers start"
iowa beef processors,Iowa Beef Processors,1968,1981,Dakota City,Nebraska,United States,gemini_r2,wrong_target_fixed,"round 2; article: Dakota City, NEConfirmed (Wrong Target Fixed). Iowa Beef Packers start"
avco,Avco,1955,1968,New York,New York,United States,gemini_r2,confirmed,"round 2; article: Greenwich, CTConfirmed. Avco moved corporate headquarters from 750 Thi"
avco,Avco,1969,1985,Greenwich,Connecticut,United States,gemini_r2,confirmed,"round 2; article: Greenwich, CTConfirmed. Avco moved corporate headquarters from 750 Thi"
pullman,Pullman,1955,1981,Chicago,Illinois,United States,gemini_r2,confirmed,"round 2; article: Pullman entity was run from Princeton, NJ from 1982 to 1988.Pullman Co"
pullman,Pullman,1982,1988,Princeton,New Jersey,United States,gemini_r2,confirmed,"round 2; article: Pullman entity was run from Princeton, NJ from 1982 to 1988.Pullman Co"
maxus energy,Maxus Energy,1955,1978,Cleveland,Ohio,United States,gemini_r2,confirmed,"round 2; article: Dallas, TXConfirmed. Diamond Shamrock was based in Cleveland, moved to"
maxus energy,Maxus Energy,1979,1986,Dallas,Texas,United States,gemini_r2,confirmed,"round 2; article: Dallas, TXConfirmed. Diamond Shamrock was based in Cleveland, moved to"
maxus energy,Maxus Energy,1987,1994,Dallas,Texas,United States,gemini_r2,confirmed,"round 2; article: Dallas, TXConfirmed. Diamond Shamrock was based in Cleveland, moved to"
kellogg,Kellogg,1955,1995,Battle Creek,Michigan,United States,gemini_r2,confirmed,"round 2; article: Battle Creek, MIConfirmed. Kellogg Company was continuously headquarte"
us pharmaceuticals,US Pharmaceuticals,1955,1973,New York,New York,United States,gemini_r2,wrong_target_fixed,"round 2; article: Tuckahoe, NY in 1974.USV Pharmaceutical"
us pharmaceuticals,US Pharmaceuticals,1974,1989,Tuckahoe,New York,United States,gemini_r2,wrong_target_fixed,"round 2; article: Tuckahoe, NY in 1974.USV Pharmaceutical"
kmart holding,Kmart Holding Corporation,1995,2005,Troy,Michigan,United States,gemini_r2,confirmed,"round 2; article: Troy, MIConfirmed. Kmart Holding Corp (the reorganized post-bankruptcy"
fleetboston financial,FleetBoston Financial Corporation,1995,1998,Providence,Rhode Island,United States,gemini_r2,confirmed,"round 2; article: Boston, MAConfirmed. Fleet Financial was in Providence, RI until mergi"
fleetboston financial,FleetBoston Financial Corporation,1999,2004,Boston,Massachusetts,United States,gemini_r2,confirmed,"round 2; article: Boston, MAConfirmed. Fleet Financial was in Providence, RI until mergi"
hygrade food products,Hygrade Food Products,1955,1956,New York,New York,United States,gemini_r2,wrong_target_fixed,round 2; article: NYC before consolidating corporate offices on Michigan Ave in Detroit 
hygrade food products,Hygrade Food Products,1957,1977,Detroit,Michigan,United States,gemini_r2,wrong_target_fixed,round 2; article: NYC before consolidating corporate offices on Michigan Ave in Detroit 
kaisertech,Kaisertech,1955,1988,Oakland,California,United States,gemini_r2,wrong_target_fixed,round 2; article: KaiserTech was headquartered at the Kaiser Center (300 Lakeside Dr) in
sunray dx oil,Sunray DX Oil,1956,1968,Tulsa,Oklahoma,United States,gemini_r2,wrong_target_fixed,"round 2; article: Tulsa, OKConfirmed (Wrong Target Fixed). Sunray DX was headquartered i"
scott paper,Scott Paper,1955,1960,Chester,Pennsylvania,United States,gemini_r2,confirmed,"round 2; article: Philadelphia, PAConfirmed. Scott Paper operated out of Chester, PA unt"
scott paper,Scott Paper,1961,1995,Philadelphia,Pennsylvania,United States,gemini_r2,confirmed,"round 2; article: Philadelphia, PAConfirmed. Scott Paper operated out of Chester, PA unt"
prudential ins of america,Prudential Ins. Co. of America,1995,1995,Newark,New Jersey,United States,gemini_r2,wrong_target_fixed,round 2; article: Prudential Plaza) since its 1875 founding.Prudential Financial
fleming,Fleming,1995,1995,Oklahoma City,Oklahoma,United States,gemini_r2,confirmed,"round 2; article: Oklahoma City, OKConfirmed. Fleming Companies was based at Waterford B"
delphi automotive systems,Delphi Automotive Systems Corporation,2001,2001,Troy,Michigan,United States,gemini_r2,wrong_target_fixed,"round 2; article: Troy, MIConfirmed (Wrong Target Fixed). Spun off from GM, Delphi was h"
cudahy,Cudahy,1955,1955,Omaha,Nebraska,United States,gemini_r2,confirmed,"round 2; article: New York, NYConfirmed. J.P. Morgan & Co. Incorporated was based a"
cudahy,Cudahy,1956,1971,Phoenix,Arizona,United States,gemini_r2,confirmed,"round 2; article: New York, NYConfirmed. J.P. Morgan & Co. Incorporated was based a"
mcdermott,McDermott,1980,1994,New Orleans,Louisiana,United States,gemini_r2,wrong_target_fixed,round 2; article: McDermott International was based at 1010 Common St in New Orleans thr
tosco,Tosco Corporation,1975,1983,Los Angeles,California,United States,gemini_r2,confirmed,"round 2; article: Stamford, CTConfirmed. Tosco was in Century City (LA), moved to Santa "
tosco,Tosco Corporation,1984,1992,Santa Monica,California,United States,gemini_r2,confirmed,"round 2; article: Stamford, CTConfirmed. Tosco was in Century City (LA), moved to Santa "
tosco,Tosco Corporation,1993,2001,Stamford,Connecticut,United States,gemini_r2,confirmed,"round 2; article: Stamford, CTConfirmed. Tosco was in Century City (LA), moved to Santa "
