company_key,company,from_year,to_year,city,state,country,basis,source,note
union carbide,Union Carbide Corporation,1955,1981,New York City,New York,United States,inferred,"Wikipedia: Union Carbide — ""270 Park Avenue (1960-2021) The former Union Carbide headquarters building, at 270 Park Avenue in New York City""","Source dates the BUILDING from 1960; the company was in New York before that too. Infobox says Seadrift, Texas, which is a Dow plant site, not this era's HQ."
union carbide,Union Carbide Corporation,1982,2001,Danbury,Connecticut,United States,inferred,🔴 NOT IN THE EXTRACT,🔴 RULING NEEDED. Union Carbide moved to Danbury in the early 1980s; neither the city nor the boundary is supported by this extract.
chevrontexaco,ChevronTexaco Corporation,1955,2001,San Francisco,California,United States,inferred,"Wikipedia: Chevron — infobox gives Houston, Texas, which is a 2024 move and wrong for the whole span",🔴 Fortune back-names these rows; the company was Standard Oil Co. of California until 1984. Era-name row already in era_names.csv. City confident, boundary not sourced.
chevrontexaco,ChevronTexaco Corporation,2002,2005,San Ramon,California,United States,inferred,"CORROBORATED: the Wikidata sweep resolved Chevron (Q319642) to San Ramon",🔴 RULING NEEDED on the 2002 boundary. Both San Francisco and San Ramon are in the same metro, so the metro rollup is unaffected either way.
borden chemical,"Borden Chemical, Inc.",1955,1970,New York City,New York,United States,ruled,"Ashwin's ruling 2026-08-17, agreeing with Gemini against my draft","I had put the move at ~1987 and was wrong by sixteen years. Ashwin closed it at 1971."
borden chemical,"Borden Chemical, Inc.",1971,2005,Columbus,Ohio,United States,ruled,"Ashwin's ruling 2026-08-17; Gemini independently gave 1971","Listing runs to 2005 though the company is marked defunct 2001; the later rows are the successor entity still being listed."
nabisco group holdings,Nabisco Group Holdings Corp.,1955,1986,Winston-Salem,North Carolina,United States,inferred,"Wikipedia: RJR Nabisco — ""Reynolds Tobacco Company was founded in Winston-Salem, North Carolina, in 1875""; ""=== Headquarters move === In August 1986, the RJR Nabisco board announced…""",The source confirms a headquarters move was announced in August 1986 but the extract truncates before the destination.
nabisco group holdings,Nabisco Group Holdings Corp.,1987,1990,Atlanta,Georgia,United States,inferred,"Wikipedia: RJR Nabisco — infobox lists ""Winston-Salem, North Carolina / Cobb County, Georgia / Midtown Manhattan, New York City"" as three HQs with no dates",🔴 RULING NEEDED. The infobox naming all three in order supports the sequence; the boundaries are mine. Cobb County is metro Atlanta.
nabisco group holdings,Nabisco Group Holdings Corp.,1991,2000,New York City,New York,United States,inferred,"Wikipedia: RJR Nabisco — infobox third HQ ""Midtown Manhattan, New York City""",🔴 RULING NEEDED on the start year. This is a three-metro company across one Fortune key and is the strongest argument for the spans table.
shell oil,Shell Oil,1955,1994,,,,BLOCKED,🔴 WRONG ARTICLE,"🔴 The lookup resolved to Shell plc, London — the British parent, not the US company Fortune ranked. Fortune's ""Shell Oil"" is Shell Oil Company, the American subsidiary (New York, then Houston from about 1970). Needs a re-fetch against ""Shell Oil Company"" before it can be drafted."
fortune brands,Fortune Brands,1955,1995,,,,BLOCKED,🔴 WRONG ARTICLE AND NO EVIDENCE,"🔴 The article ""Fortune Brands"" is the 2011 spin-off and carries no infobox HQ and no headquarters sentence. Fortune's 1955-1995 rows are American Brands / The American Tobacco Company of New York City. Needs an era-name ruling before an HQ can be drafted."
