company_key,company,listed_from,listed_to,board_rows,your_round1_answer,why_unconfirmed,article_i_checked
ncr,NCR,1955,1991,25,"1955-1991 Dayton, Ohio","I COULD NOT CHECK IT. My article lookup landed on 'National Capital Region (India)', which is not this company. Tell me the correct Wikipedia article title as well as the headquarters.",National Capital Region (India)
uniroyal,Uniroyal,1955,1986,24,"1955-1971 New York City, New York | 1972-1986 Middlebury, Connecticut","UNCONFIRMED. The article mentions a headquarters but never any city you named (New York City, Middlebury). Please reconsider.",Uniroyal
beatrice,Beatrice,1955,1991,23,"1955-1991 Chicago, Illinois","NO EVIDENCE. The Wikipedia article I checked says nothing about a headquarters at all, so your answer is unverified rather than wrong. A citation would settle it.",Beatrice
bp america,BP America,1955,1988,22,"1955-1988 Cleveland, Ohio",UNCONFIRMED. The article mentions a headquarters but never any city you named (Cleveland). Please reconsider.,BP
martin marietta,Martin Marietta,1955,1995,19,"1955-1960 Baltimore, Maryland | 1961-1975 New York City, New York | 1976-1995 Bethesda, Maryland","PARTLY UNCONFIRMED. The article supports Baltimore, Bethesda but never mentions New York City. Is that era right?",Martin Marietta
singer,Singer,1955,1988,19,"1955-1978 New York City, New York | 1979-1988 Stamford, Connecticut","UNCONFIRMED. The article mentions a headquarters but never any city you named (New York City, Stamford). Please reconsider.",Singer Laren
american motors,American Motors,1955,1987,18,"1955-1974 Detroit, Michigan | 1975-1987 Southfield, Michigan",PARTLY UNCONFIRMED. The article supports Southfield but never mentions Detroit. Is that era right?,American Motors Corporation
signal companies,Signal Companies,1958,1985,18,"1958-1977 Los Angeles, California | 1978-1985 La Jolla, California","I COULD NOT CHECK IT. My article lookup landed on 'AlliedSignal', which is not this company. Tell me the correct Wikipedia article title as well as the headquarters.",AlliedSignal
gulf and western industries,Gulf & Western Industries,1966,1985,17,"1966-1966 Houston, Texas | 1967-1985 New York City, New York",PARTLY UNCONFIRMED. The article supports New York City but never mentions Houston. Is that era right?,Gulf and Western Industries
armour,Armour,1955,1970,16,"1955-1970 Chicago, Illinois","NO EVIDENCE. The Wikipedia article I checked says nothing about a headquarters at all, so your answer is unverified rather than wrong. A citation would settle it.",Armour
anaconda,Anaconda,1955,1977,16,"1955-1977 New York City, New York","NO EVIDENCE. The Wikipedia article I checked says nothing about a headquarters at all, so your answer is unverified rather than wrong. A citation would settle it.",Anaconda
coastal,The Coastal Corporation,1966,2000,14,"1966-1973 Corpus Christi, Texas | 1974-2000 Houston, Texas","UNCONFIRMED. The article mentions a headquarters but never any city you named (Corpus Christi, Houston). Please reconsider.",Coastal Carolina University
wilson,Wilson,1955,1967,13,"1955-1967 Chicago, Illinois","NO EVIDENCE. The Wikipedia article I checked says nothing about a headquarters at all, so your answer is unverified rather than wrong. A citation would settle it.",Wilson
gencorp,"GenCorp, Inc.",1955,2004,13,"1955-1983 Akron, Ohio | 1984-1998 Fairlawn, Ohio | 1999-2004 Rancho Cordova, California","I COULD NOT CHECK IT. My article lookup landed on 'Aerojet Rocketdyne', which is not this company. Tell me the correct Wikipedia article title as well as the headquarters.",Aerojet Rocketdyne
chiquita brands intl,Chiquita Brands Intl.,1968,1995,13,"1968-1969 Boston, Massachusetts | 1970-1984 New York City, New York | 1985-1995 Cincinnati, Ohio","PARTLY UNCONFIRMED. The article supports Cincinnati but never mentions Boston, New York City. Is that era right?",Chiquita
nabisco brands,Nabisco Brands,1955,1985,12,"1955-1974 New York City, New York | 1975-1985 East Hanover, New Jersey",PARTLY UNCONFIRMED. The article supports East Hanover but never mentions New York City. Is that era right?,Nabisco
tidewater oil,Tidewater Oil,1955,1967,12,"1955-1957 San Francisco, California | 1958-1967 Los Angeles, California",PARTLY UNCONFIRMED. The article supports Los Angeles but never mentions San Francisco. Is that era right?,Tidewater Oil Company
nl industries,NL Industries,1955,1993,12,"1955-1985 New York City, New York | 1986-1993 Houston, Texas",PARTLY UNCONFIRMED. The article supports Houston but never mentions New York City. Is that era right?,NL Industries
sbc communications,SBC Communications Inc.,1995,2005,11,"1995-1997 St. Louis, Missouri | 1998-2005 San Antonio, Texas","UNCONFIRMED. The article mentions a headquarters but never any city you named (St. Louis, San Antonio). Please reconsider.",AT&T
allis chalmers,Allis-Chalmers,1955,1988,11,"1955-1988 West Allis, Wisconsin",UNCONFIRMED. The article mentions a headquarters but never any city you named (West Allis). Please reconsider.,Allis-Chalmers
sprint,Sprint Corporation,1995,2005,11,"1995-2002 Westwood, Kansas | 2003-2005 Overland Park, Kansas",PARTLY UNCONFIRMED. The article supports Overland Park but never mentions Westwood. Is that era right?,Sprint Corporation
amax,AMAX,1955,1993,10,"1955-1973 New York City, New York | 1974-1993 Greenwich, Connecticut","NO EVIDENCE. The Wikipedia article I checked says nothing about a headquarters at all, so your answer is unverified rather than wrong. A citation would settle it.",Amax
north american philips,North American Philips,1960,1993,10,"1960-1993 New York City, New York",UNCONFIRMED. The article mentions a headquarters but never any city you named (New York City). Please reconsider.,Philips
j p stevens,J.P. Stevens,1955,1988,10,"1955-1988 New York City, New York","NO EVIDENCE. The Wikipedia article I checked says nothing about a headquarters at all, so your answer is unverified rather than wrong. A citation would settle it.",J.P. Stevens
morrell john,Morrell (John),1955,1967,10,"1955-1967 Chicago, Illinois","NO EVIDENCE. The Wikipedia article I checked says nothing about a headquarters at all, so your answer is unverified rather than wrong. A citation would settle it.",John Morrell
whitman,Whitman Corporation,1970,2000,9,"1970-1992 Chicago, Illinois | 1993-2000 Rolling Meadows, Illinois","UNCONFIRMED. The article mentions a headquarters but never any city you named (Chicago, Rolling Meadows). Please reconsider.",Whitman College
american standard,American Standard,1955,1995,9,"1955-1987 New York City, New York | 1988-1995 Piscataway, New Jersey","NO EVIDENCE. The Wikipedia article I checked says nothing about a headquarters at all, so your answer is unverified rather than wrong. A citation would settle it.",American Standard
kmart,Kmart Corporation,1996,2003,8,"1996-2003 Troy, Michigan",UNCONFIRMED. The article mentions a headquarters but never any city you named (Troy). Please reconsider.,Kmart
kennecott,Kennecott,1955,1981,8,"1955-1973 New York City, New York | 1974-1981 Stamford, Connecticut","UNCONFIRMED. The article mentions a headquarters but never any city you named (New York City, Stamford). Please reconsider.",Kennecott Utah Copper
hanson industries na,Hanson Industries NA,1983,1994,7,"1983-1987 Iselin, New Jersey | 1988-1994 New York City, New York","I COULD NOT CHECK IT. My article lookup landed on 'Outer Hebrides', which is not this company. Tell me the correct Wikipedia article title as well as the headquarters.",Outer Hebrides
hoechst celanese,Hoechst Celanese,1982,1994,7,"1982-1986 New York City, New York | 1987-1994 Somerville, New Jersey",PARTLY UNCONFIRMED. The article supports New York City but never mentions Somerville. Is that era right?,Celanese
gte,GTE Corporation,1995,2000,6,"1995-1999 Stamford, Connecticut | 2000-2000 Irving, Texas",PARTLY UNCONFIRMED. The article supports Stamford but never mentions Irving. Is that era right?,GTE
bank one,Bank One Corporation,1995,2004,6,"1995-1997 Columbus, Ohio | 1998-2004 Chicago, Illinois",PARTLY UNCONFIRMED. The article supports Chicago but never mentions Columbus. Is that era right?,Bank One Corporation
asarco,"Asarco, Inc.",1955,1999,6,"1955-1999 New York City, New York",UNCONFIRMED. The article mentions a headquarters but never any city you named (New York City). Please reconsider.,ASARCO
bayer,Bayer Corporation,1987,1994,6,"1987-1994 Pittsburgh, Pennsylvania",UNCONFIRMED. The article mentions a headquarters but never any city you named (Pittsburgh). Please reconsider.,Bayer
st regis,St. Regis,1955,1984,6,"1955-1984 New York City, New York",UNCONFIRMED. The article mentions a headquarters but never any city you named (New York City). Please reconsider.,St. Regis Hotels & Resorts
unilever u s,Unilever U.S.,1989,1993,5,"1989-1993 New York City, New York",UNCONFIRMED. The article mentions a headquarters but never any city you named (New York City). Please reconsider.,Unilever
charter,Charter,1974,1984,5,"1974-1984 Jacksonville, Florida",UNCONFIRMED. The article mentions a headquarters but never any city you named (Jacksonville). Please reconsider.,Charter
foremost dairies,Foremost Dairies,1955,1967,5,"1955-1967 San Francisco, California","NO EVIDENCE. The Wikipedia article I checked says nothing about a headquarters at all, so your answer is unverified rather than wrong. A citation would settle it.",Foremost Dairy Products
agway,Agway,1961,2003,5,"1961-2003 DeWitt, New York","NO EVIDENCE. The Wikipedia article I checked says nothing about a headquarters at all, so your answer is unverified rather than wrong. A citation would settle it.",Agway
rapid american,Rapid-American,1970,1973,4,"1970-1973 New York City, New York","NO EVIDENCE. The Wikipedia article I checked says nothing about a headquarters at all, so your answer is unverified rather than wrong. A citation would settle it.",Meshulam Riklis
fort james,Fort James Corp,1982,2000,4,"1982-1996 Richmond, Virginia | 1997-2000 Deerfield, Illinois","NO EVIDENCE. The Wikipedia article I checked says nothing about a headquarters at all, so your answer is unverified rather than wrong. A citation would settle it.",Corrugated box design
cooper industries,Cooper Industries,1964,2002,4,"1964-1966 Mount Vernon, Ohio | 1967-2002 Houston, Texas",PARTLY UNCONFIRMED. The article supports Houston but never mentions Mount Vernon. Is that era right?,Cooper Industries
u s industries,"U.S. Industries, Inc.",1955,2003,4,"1955-1983 New York City, New York | 1984-1994 Iselin, New Jersey | 1995-2003 Iselin, New Jersey","UNCONFIRMED. The article mentions a headquarters but never any city you named (New York City, Iselin, Iselin). Please reconsider.",Polly Flinders
basf,BASF,1982,1994,4,"1982-1985 Parsippany, New Jersey | 1986-1994 Mount Olive, New Jersey","UNCONFIRMED. The article mentions a headquarters but never any city you named (Parsippany, Mount Olive). Please reconsider.",BASF
carnation,Carnation,1955,1984,4,"1955-1984 Los Angeles, California","NO EVIDENCE. The Wikipedia article I checked says nothing about a headquarters at all, so your answer is unverified rather than wrong. A citation would settle it.",Dianthus caryophyllus
united merchants and mfrs,United Merchants & Mfrs.,1955,1989,4,"1955-1989 New York City, New York","NO EVIDENCE. The Wikipedia article I checked says nothing about a headquarters at all, so your answer is unverified rather than wrong. A citation would settle it.",Derivative work
fleming companies,"Fleming Companies, Inc.",1996,2003,3,"1996-1999 Oklahoma City, Oklahoma | 2000-2003 Lewisville, Texas","NO EVIDENCE. The Wikipedia article I checked says nothing about a headquarters at all, so your answer is unverified rather than wrong. A citation would settle it.",Fleming Companies
ogden,Ogden Corporation,1957,2000,3,"1957-2000 New York City, New York","I COULD NOT CHECK IT. My article lookup landed on 'Reworld', which is not this company. Tell me the correct Wikipedia article title as well as the headquarters.",Reworld
iowa beef processors,Iowa Beef Processors,1964,1981,3,"1964-1967 Denison, Iowa | 1968-1981 Dakota City, Nebraska","I COULD NOT CHECK IT. My article lookup landed on 'Tyson Fresh Meats, Inc.', which is not this company. Tell me the correct Wikipedia article title as well as the headquarters.","Tyson Fresh Meats, Inc."
avco,Avco,1955,1985,3,"1955-1968 New York City, New York | 1969-1985 Greenwich, Connecticut",PARTLY UNCONFIRMED. The article supports Greenwich but never mentions New York City. Is that era right?,Avco
pullman,Pullman,1955,1988,3,"1955-1981 Chicago, Illinois | 1982-1988 Princeton, New Jersey",PARTLY UNCONFIRMED. The article supports Chicago but never mentions Princeton. Is that era right?,Pullman Company
maxus energy,Maxus Energy,1955,1994,3,"1955-1978 Cleveland, Ohio | 1979-1986 Dallas, Texas | 1987-1994 Dallas, Texas","UNCONFIRMED. The article mentions a headquarters but never any city you named (Cleveland, Dallas, Dallas). Please reconsider.",Maxus
kellogg,Kellogg,1955,1995,3,"1955-1995 Battle Creek, Michigan","NO EVIDENCE. The Wikipedia article I checked says nothing about a headquarters at all, so your answer is unverified rather than wrong. A citation would settle it.",Kellogg
us pharmaceuticals,US Pharmaceuticals,1955,1989,3,"1955-1973 New York City, New York | 1974-1989 Tuckahoe, New York","UNCONFIRMED. The article mentions a headquarters but never any city you named (New York City, Tuckahoe). Please reconsider.",Teva Pharmaceuticals
kmart holding,Kmart Holding Corporation,1995,2005,2,"1995-2005 Troy, Michigan",UNCONFIRMED. The article mentions a headquarters but never any city you named (Troy). Please reconsider.,Kmart
fleetboston financial,FleetBoston Financial Corporation,1995,2004,2,"1995-1998 Providence, Rhode Island | 1999-2004 Boston, Massachusetts",PARTLY UNCONFIRMED. The article supports Boston but never mentions Providence. Is that era right?,FleetBoston Financial
hygrade food products,Hygrade Food Products,1955,1977,2,"1955-1956 New York City, New York | 1957-1977 Detroit, Michigan","NO EVIDENCE. The Wikipedia article I checked says nothing about a headquarters at all, so your answer is unverified rather than wrong. A citation would settle it.",Ball Park Franks
kaisertech,Kaisertech,1955,1988,2,"1955-1988 Oakland, California","I COULD NOT CHECK IT. My article lookup landed on 'Kaiser Aluminum', which is not this company. Tell me the correct Wikipedia article title as well as the headquarters.",Kaiser Aluminum
sunray dx oil,Sunray DX Oil,1956,1968,2,"1956-1968 Tulsa, Oklahoma","I COULD NOT CHECK IT. My article lookup landed on 'Sunoco', which is not this company. Tell me the correct Wikipedia article title as well as the headquarters.",Sunoco
scott paper,Scott Paper,1955,1995,2,"1955-1960 Chester, Pennsylvania | 1961-1995 Philadelphia, Pennsylvania",PARTLY UNCONFIRMED. The article supports Philadelphia but never mentions Chester. Is that era right?,Scott Paper Company
prudential ins of america,Prudential Ins. Co. of America,1995,1995,1,"1995-1995 Newark, New Jersey","I COULD NOT CHECK IT. My article lookup landed on 'IA Financial Group', which is not this company. Tell me the correct Wikipedia article title as well as the headquarters.",IA Financial Group
fleming,Fleming,1995,1995,1,"1995-1995 Oklahoma City, Oklahoma","NO EVIDENCE. The Wikipedia article I checked says nothing about a headquarters at all, so your answer is unverified rather than wrong. A citation would settle it.",Fleming
delphi automotive systems,Delphi Automotive Systems Corporation,2001,2001,1,"2001-2001 Troy, Michigan","I COULD NOT CHECK IT. My article lookup landed on 'Aptiv', which is not this company. Tell me the correct Wikipedia article title as well as the headquarters.",Aptiv
cudahy,Cudahy,1955,1971,1,"1955-1955 Omaha, Nebraska | 1956-1971 Phoenix, Arizona","NO EVIDENCE. The Wikipedia article I checked says nothing about a headquarters at all, so your answer is unverified rather than wrong. A citation would settle it.",Cudahy
morg,morg,1996,1996,1,"1996-1996 New York City, New York","NO EVIDENCE. The Wikipedia article I checked says nothing about a headquarters at all, so your answer is unverified rather than wrong. A citation would settle it.",Morg
mcdermott,McDermott,1980,1994,1,"1980-1994 New Orleans, Louisiana",UNCONFIRMED. The article mentions a headquarters but never any city you named (New Orleans). Please reconsider.,McDermott Will & Schulte
tosco,Tosco Corporation,1975,2001,1,"1975-1983 Los Angeles, California | 1984-1992 Santa Monica, California | 1993-2001 Stamford, Connecticut","PARTLY UNCONFIRMED. The article supports Santa Monica, Stamford but never mentions Los Angeles. Is that era right?",Tosco Corporation
batus,BATUS,1982,1982,1,"1982-1982 Louisville, Kentucky","NO EVIDENCE. The Wikipedia article I checked says nothing about a headquarters at all, so your answer is unverified rather than wrong. A citation would settle it.",BATUS
mediaone group,"MediaOne Group, Inc.",1995,2000,1,"1995-2000 Englewood, Colorado",UNCONFIRMED. The article mentions a headquarters but never any city you named (Englewood). Please reconsider.,MediaOne
cvs,CVS,1955,1995,1,"1955-1964 Worcester, Massachusetts | 1965-1995 Harrison, New York","UNCONFIRMED. The article mentions a headquarters but never any city you named (Worcester, Harrison). Please reconsider.",CVS Pharmacy
wellpoint health networks,"WellPoint Health Networks, Inc.",1996,2004,1,"1996-2004 Thousand Oaks, California",UNCONFIRMED. The article mentions a headquarters but never any city you named (Thousand Oaks). Please reconsider.,Elevance Health
amf,AMF,1955,1985,1,"1955-1970 New York City, New York | 1971-1985 White Plains, New York","NO EVIDENCE. The Wikipedia article I checked says nothing about a headquarters at all, so your answer is unverified rather than wrong. A citation would settle it.",AMF
crane,Crane,1955,1994,1,"1955-1967 Chicago, Illinois | 1968-1984 New York City, New York | 1985-1994 Stamford, Connecticut","NO EVIDENCE. The Wikipedia article I checked says nothing about a headquarters at all, so your answer is unverified rather than wrong. A citation would settle it.",Crane
federal home loan mortgage,Federal Home Loan Mortgage Corp.,1996,1998,1,"1996-1998 McLean, Virginia","NO EVIDENCE. The Wikipedia article I checked says nothing about a headquarters at all, so your answer is unverified rather than wrong. A citation would settle it.",Federal Home Loan Banks
triangle industries,Triangle Industries,1969,1989,1,"1969-1982 Holmdel, New Jersey | 1983-1989 New York City, New York","I COULD NOT CHECK IT. My article lookup landed on 'Nelson Peltz', which is not this company. Tell me the correct Wikipedia article title as well as the headquarters.",Nelson Peltz
white motor,White Motor,1955,1981,1,"1955-1972 Cleveland, Ohio | 1973-1981 Eastlake, Ohio",PARTLY UNCONFIRMED. The article supports Cleveland but never mentions Eastlake. Is that era right?,White Motor Company
bergen brunswig,Bergen Brunswig Corporation,1995,2001,1,"1995-2001 Orange, California","I COULD NOT CHECK IT. My article lookup landed on 'Cencora', which is not this company. Tell me the correct Wikipedia article title as well as the headquarters.",Cencora
