team,league,value_usd_m,year,source,source_url,method,confidence,notes
Celta Vigo,La Liga,231,2025,Cronica Global LaLiga budgets 2024-25,https://cronicaglobal.elespanol.com/culemania/palco/20250213/todos-los-presupuestos-de-liga-primera-division/923657741_0.html,speculative,medium,"Approved 2024-25 budget EUR107m x 2.0 LaLiga multiple, EUR/USD 1.08."
Rayo Vallecano,La Liga,108,2025,Cronica Global LaLiga budgets 2024-25,https://cronicaglobal.elespanol.com/culemania/palco/20250213/todos-los-presupuestos-de-liga-primera-division/923657741_0.html,speculative,medium,"Approved 2024-25 budget EUR50m x 2.0 LaLiga multiple, EUR/USD 1.08."
RCD Espanyol,La Liga,179,2025,Cronica Global LaLiga budgets 2024-25,https://cronicaglobal.elespanol.com/culemania/palco/20250213/todos-los-presupuestos-de-liga-primera-division/923657741_0.html,speculative,medium,"Approved 2024-25 budget EUR83m x 2.0, EUR/USD 1.08. Velocity Sports majority purchase price undisclosed."
Deportivo Alaves,La Liga,164,2025,Cronica Global LaLiga budgets 2024-25,https://cronicaglobal.elespanol.com/culemania/palco/20250213/todos-los-presupuestos-de-liga-primera-division/923657741_0.html,speculative,medium,"Approved 2024-25 budget EUR76m x 2.0 LaLiga multiple, EUR/USD 1.08."
CA Osasuna,La Liga,173,2025,Cronica Global LaLiga budgets 2024-25,https://cronicaglobal.elespanol.com/culemania/palco/20250213/todos-los-presupuestos-de-liga-primera-division/923657741_0.html,speculative,medium,"Approved 2024-25 budget EUR80m x 2.0 LaLiga multiple, EUR/USD 1.08."
VfB Stuttgart,Bundesliga,880,2026,2026 club valuation list as tabulated on Wikipedia,https://en.wikipedia.org/wiki/Forbes_list_of_the_most_valuable_football_clubs,published,medium,"Published 2026 valuation USD0.88bn, already in USD. Secondary source; confirm whether Forbes or Sportico before loading."
RB Leipzig,Bundesliga,983,2025,RBlive (club accounts),https://rblive.de/news/umsatz-ranking-der-topklubs-warum-rb-seit-jahren-fehlt-4307254,speculative,medium,"2024-25 GmbH revenue about EUR455m x 2.0 Bundesliga multiple, EUR/USD 1.08."
Olympique de Marseille,Ligue 1,605,2026,le11hdf.fr citing Sportune budgets 2025-26,https://le11hdf.fr/ligue-1-budgets-saison-2025-2026/,speculative,low,"Estimated 2025-26 budget EUR280m used as revenue proxy x 2.0, EUR/USD 1.08."
AS Monaco,Ligue 1,302,2026,le11hdf.fr citing Sportune budgets 2025-26,https://le11hdf.fr/ligue-1-budgets-saison-2025-2026/,speculative,low,"Estimated 2025-26 budget EUR140m used as revenue proxy x 2.0, EUR/USD 1.08."
OGC Nice,Ligue 1,259,2026,le11hdf.fr citing Sportune budgets 2025-26,https://le11hdf.fr/ligue-1-budgets-saison-2025-2026/,speculative,low,"Estimated 2025-26 budget EUR120m used as revenue proxy x 2.0, EUR/USD 1.08."
RC Strasbourg,Ligue 1,238,2026,le11hdf.fr citing Sportune budgets 2025-26,https://le11hdf.fr/ligue-1-budgets-saison-2025-2026/,speculative,low,"Estimated 2025-26 budget EUR110m used as revenue proxy x 2.0, EUR/USD 1.08."
LOSC Lille,Ligue 1,238,2026,le11hdf.fr citing Sportune budgets 2025-26,https://le11hdf.fr/ligue-1-budgets-saison-2025-2026/,speculative,low,"Estimated 2025-26 budget EUR110m used as revenue proxy x 2.0, EUR/USD 1.08."
Stade Rennais,Ligue 1,238,2026,le11hdf.fr citing Sportune budgets 2025-26,https://le11hdf.fr/ligue-1-budgets-saison-2025-2026/,speculative,low,"Estimated 2025-26 budget EUR110m used as revenue proxy x 2.0, EUR/USD 1.08."
Olympique Lyonnais,Ligue 1,238,2026,le11hdf.fr citing Sportune budgets 2025-26,https://le11hdf.fr/ligue-1-budgets-saison-2025-2026/,speculative,low,"Estimated 2025-26 budget EUR110m x 2.0, EUR/USD 1.08. Likely understates; Eagle Football accounts would give a firmer figure."
RC Lens,Ligue 1,130,2026,le11hdf.fr citing Sportune budgets 2025-26,https://le11hdf.fr/ligue-1-budgets-saison-2025-2026/,speculative,low,"Estimated 2025-26 budget EUR60m, reportedly halved, x 2.0, EUR/USD 1.08."
FC Lorient,Ligue 1,130,2026,le11hdf.fr citing Sportune budgets 2025-26,https://le11hdf.fr/ligue-1-budgets-saison-2025-2026/,speculative,low,"Estimated 2025-26 budget EUR60m used as revenue proxy x 2.0, EUR/USD 1.08."
Toulouse FC,Ligue 1,108,2026,le11hdf.fr citing Sportune budgets 2025-26,https://le11hdf.fr/ligue-1-budgets-saison-2025-2026/,speculative,low,"Estimated 2025-26 budget EUR50m used as revenue proxy x 2.0, EUR/USD 1.08."
AJ Auxerre,Ligue 1,86,2026,le11hdf.fr citing Sportune budgets 2025-26,https://le11hdf.fr/ligue-1-budgets-saison-2025-2026/,speculative,low,"Estimated 2025-26 budget EUR40m used as revenue proxy x 2.0, EUR/USD 1.08."
Stade Brestois,Ligue 1,76,2026,le11hdf.fr citing Sportune budgets 2025-26,https://le11hdf.fr/ligue-1-budgets-saison-2025-2026/,speculative,low,"Estimated 2025-26 budget EUR35m used as revenue proxy x 2.0, EUR/USD 1.08."
Le Havre AC,Ligue 1,54,2026,le11hdf.fr citing Sportune budgets 2025-26,https://le11hdf.fr/ligue-1-budgets-saison-2025-2026/,speculative,low,"Estimated 2025-26 budget EUR25m used as revenue proxy x 2.0, EUR/USD 1.08."
Angers SCO,Ligue 1,54,2026,le11hdf.fr citing Sportune budgets 2025-26,https://le11hdf.fr/ligue-1-budgets-saison-2025-2026/,speculative,low,"Estimated 2025-26 budget EUR25m used as revenue proxy x 2.0, EUR/USD 1.08."
FC Nantes,Ligue 2,70,2026,le11hdf.fr citing Sportune budgets 2025-26,https://le11hdf.fr/ligue-1-budgets-saison-2025-2026/,speculative,low,"Estimated 2025-26 Ligue 1 budget EUR50m x 1.3 second-tier multiple, EUR/USD 1.08."
Aberdeen,Scottish Premiership,37,2025,Aberdeen FC annual accounts statement,https://www.afc.co.uk/2025/11/14/aberdeen-fc-reports-continued-robust-financial-performance-in-latest-accounts/,speculative,medium,"Turnover GBP21.7m, year to June 2025, x 1.3 Scotland multiple, GBP/USD 1.32."
Motherwell,Scottish Premiership,13,2025,Scottish Football Info (club accounts),https://www.scottishfootball.info/p/the-motherwell-football-and-athletic,speculative,medium,"Record turnover GBP7.3m, year to May 2025, x 1.3 multiple, GBP/USD 1.32."
St. Mirren,Scottish Premiership,15,2025,Scottish Football Info (club accounts),https://www.scottishfootball.info/p/st-mirren-fc-annual-report-year-ending,speculative,medium,"Turnover GBP8.6m, year to May 2025, x 1.3 multiple, GBP/USD 1.32."
Dundee United,Scottish Premiership,18,2025,Dundee United FC accounts statement,https://www.dundeeunitedfc.co.uk/news/9127/2025-Accounts-Show-Record-Turnover-And-EBITDA-Profit-.html,speculative,medium,"Record turnover above GBP10.5m, year to June 2025, x 1.3 multiple, GBP/USD 1.32."
Dundee FC,Scottish Premiership,8,2022,The Courier,https://www.thecourier.co.uk/fp/sport/football/dundee-fc/5265494/dundee-fc-finances-history/,speculative,low,"Turnover GBP4.9m for 2021-22, latest disclosed since abridged filings, x 1.3, GBP/USD 1.32. Stale."
Falkirk,Scottish Premiership,8,2025,Falkirk Herald (AGM report),https://www.falkirkherald.co.uk/sport/football/back-to-back-promotions-returning-falkirk-to-scottish-footballs-top-flight-have-led-to-turnaround-in-financial-fortunes-agm-told-5374676,speculative,medium,"Turnover GBP4.43m for 2024-25, pre top-flight return, x 1.3 multiple, GBP/USD 1.32."
St. Johnstone,Scottish Premiership,12,2025,The Courier,https://www.thecourier.co.uk/fp/sport/football/st-johnstone/5422146/st-johnstone-profit-annual-accounts/,speculative,medium,"Turnover close to GBP7m for 2024-25 x 1.3 multiple, GBP/USD 1.32. Source gives an approximate figure."
Mirassol FC,Brasileirao Serie A,16,2024,InfoMoney,https://www.infomoney.com.br/esportes/so-com-premiacao-mirassol-arrecada-mesma-coisa-que-conseguiu-durante-2024-inteiro/,speculative,low,"2024 revenue BRL60m, earned in Serie B, x 1.5 Brazil multiple, BRL/USD 0.18. Understates post-promotion club."
Belgrano de Córdoba,Liga Profesional,43,2025,Canal Showsport (club assembly report),https://canalshowsport.com.ar/asamblea-ordinaria-belgrano-aprobo-su-balance-y-destaco-el-aporte-clave-de-los-socios/,speculative,medium,"Annual budget about USD36m for fiscal 2025, stated in USD, x 1.2 Argentina multiple. No FX needed."
Talleres,Liga Profesional,12,2023,Perfil,https://www.perfil.com/noticias/cordoba/237-millones-de-dolares-el-costo-de-ser-de-primera-division-para-talleres-belgrano-e-instituto.phtml,speculative,low,"Press estimate of USD10m annual budget, January 2023, x 1.2 multiple. Stale and estimated."
Instituto de Córdoba,Liga Profesional,13,2023,Perfil,https://www.perfil.com/noticias/cordoba/237-millones-de-dolares-el-costo-de-ser-de-primera-division-para-talleres-belgrano-e-instituto.phtml,speculative,low,"Projected 2023 spend ARS160m monthly (ARS1.92bn yearly) at official ARS181/USD, x 1.2 multiple. Stale projection."
Olympiacos BC,EuroLeague,32,2025,Sport24,https://www.sport24.gr/basket/afto-einai-to-batzet-tou-olimpiakou-gia-ti-sezon-2024-25/,speculative,medium,"Club budget near EUR20m for 2024-25 x 1.5 EuroLeague multiple, EUR/USD 1.08."
Real Madrid Baloncesto,EuroLeague,89,2025,Teleceuta,https://teleceuta.com/el-presupuesto-del-real-madrid-para-baloncesto-alcanza-los-55-millones-de-euros/,speculative,medium,"Basketball section budget EUR55m for 2025-26 x 1.5 EuroLeague multiple, EUR/USD 1.08."
Saski Baskonia,EuroLeague,28,2025,Cronica Vasca,https://cronicavasca.elespanol.com/deportes/20250727/baskonia-seguira-potente-acb-contara-millones-presupuesto/1003742675823_0.html,speculative,medium,"Club budget EUR17m for 2025-26 x 1.5 EuroLeague multiple, EUR/USD 1.08."
BC Žalgiris,EuroLeague,29,2024,Kaunas Kasvyksta,https://kaunas.kasvyksta.lt/2024/10/01/sportas/pinigine-atveres-kauno-zalgiris-pristate-rekordini-klubo-biudzeta-ir-sio-sezono-tikslus/,speculative,medium,"Record club budget EUR17.7m for 2024-25 x 1.5 EuroLeague multiple, EUR/USD 1.08."
Hamilton Tiger-Cats,CFL,37,2022,3DownNation,https://3downnation.com/2022/01/27/stelco-paid-roughly-20-million-for-40-percent-share-in-tiger-cats-hamilton-sports-group-report/,transaction,low,"Stelco paid about CAD20m for 40 percent of Hamilton Sports Group, implying CAD50m, CAD/USD 0.73. Group also holds Forge FC."
