team,league,value_usd_m,year,source,source_url,method,confidence,notes,hold_reason
Eyüpspor,Süper Lig,23,2025,"General knowledge estimate, no specific published figure",https://en.wikipedia.org/wiki/S%C3%BCper_Lig,speculative,low,"Estimated revenue about USD15m times 1.5x default multiple, low confidence",revenue figure is a general estimate with no published source
Konyaspor,Süper Lig,33,2025,"General knowledge estimate, no specific published figure",https://www.idman.biz/en/news/football/82108,speculative,low,"Estimated revenue about USD22m times 1.5x default multiple, low confidence",revenue figure is a general estimate with no published source
Gaziantep FK,Süper Lig,23,2025,"General knowledge estimate, no specific published figure",https://www.idman.biz/en/news/football/82108,speculative,low,"Estimated revenue about USD15m times 1.5x default multiple, low confidence",revenue figure is a general estimate with no published source
Çorum FK,Süper Lig,12,2025,"General knowledge estimate, no specific published figure",https://en.wikipedia.org/wiki/S%C3%BCper_Lig,speculative,low,"Newly promoted small club, estimated revenue about USD8m times 1.5x default multiple, very low confidence",revenue figure is a general estimate with no published source
Erzurumspor,Süper Lig,12,2025,"General knowledge estimate, no specific published figure",https://en.wikipedia.org/wiki/S%C3%BCper_Lig,speculative,low,"Estimated revenue about USD8m times 1.5x default multiple, very low confidence",revenue figure is a general estimate with no published source
Aberdeen,Scottish Premiership,24,2026,"General knowledge estimate, no specific published figure",https://www.insider.co.uk/news/investor-takes-775k-stake-aberdeen-11552885,speculative,low,"Estimated revenue about GBP14m times 1.3x default multiple, GBP/USD 1.32",revenue figure is a general estimate with no published source
Motherwell,Scottish Premiership,10,2026,"General knowledge estimate, no specific published figure",https://www.scotsman.com/sport/football/how-much-each-spfl-club-earned-last-season-as-record-turnover-and-payments-revealed-4810409,speculative,low,"Estimated revenue about GBP6m times 1.3x default multiple, GBP/USD 1.32",revenue figure is a general estimate with no published source
St. Mirren,Scottish Premiership,10,2026,"General knowledge estimate, no specific published figure",https://www.scotsman.com/sport/football/how-much-each-spfl-club-earned-last-season-as-record-turnover-and-payments-revealed-4810409,speculative,low,"Estimated revenue about GBP6m times 1.3x default multiple, GBP/USD 1.32",revenue figure is a general estimate with no published source
Dundee United,Scottish Premiership,10,2026,"General knowledge estimate, no specific published figure",https://www.scotsman.com/sport/football/how-much-each-spfl-club-earned-last-season-as-record-turnover-and-payments-revealed-4810409,speculative,low,"Estimated revenue about GBP6m times 1.3x default multiple, GBP/USD 1.32",revenue figure is a general estimate with no published source
Dundee FC,Scottish Premiership,9,2026,"General knowledge estimate, no specific published figure",https://www.scotsman.com/sport/football/how-much-each-spfl-club-earned-last-season-as-record-turnover-and-payments-revealed-4810409,speculative,low,"Estimated revenue about GBP5m times 1.3x default multiple, GBP/USD 1.32",revenue figure is a general estimate with no published source
Falkirk,Scottish Premiership,7,2026,"General knowledge estimate, no specific published figure",https://www.scotsman.com/sport/football/how-much-each-spfl-club-earned-last-season-as-record-turnover-and-payments-revealed-4810409,speculative,low,"Small recently promoted club, estimated revenue about GBP4m times 1.3x default multiple, very low confidence",revenue figure is a general estimate with no published source
St. Johnstone,Scottish Premiership,9,2026,"General knowledge estimate, no specific published figure",https://www.scotsman.com/sport/football/how-much-each-spfl-club-earned-last-season-as-record-turnover-and-payments-revealed-4810409,speculative,low,"Estimated revenue about GBP5m times 1.3x default multiple, GBP/USD 1.32",revenue figure is a general estimate with no published source
Mirassol FC,Brasileirao Serie A,33,2025,"General knowledge estimate, no specific published figure",https://en.wikipedia.org/wiki/Mirassol_Futebol_Clube,speculative,low,"Estimated revenue about BRL120m after strong 2025 season times 1.5x, BRL/USD 5.5, low confidence",revenue figure is a general estimate with no published source
Chapecoense,Brasileirao Serie A,11,2025,"General knowledge estimate, no specific published figure",https://en.wikipedia.org/wiki/Associa%C3%A7%C3%A3o_Chapecoense_de_Futebol,speculative,low,"Club now outside Serie A, estimated revenue about BRL40m times 1.5x, BRL/USD 5.5, very low confidence",revenue figure is a general estimate with no published source
Toronto Argonauts,CFL,27,2025,No reliable published figure found,,speculative,low,"MLSE-owned; no revenue or valuation disclosed. Revenue roughly estimated near CAD25m based on market comparison, 1.5x multiple, CAD to USD 0.73.",no source: revenue estimated from market size
BC Lions,CFL,31,2025,No reliable published figure found,,speculative,low,"Privately owned by Amar Doman since 2021; no financials disclosed. Revenue roughly estimated near CAD28m, 1.5x multiple, CAD to USD 0.73.",no source: revenue estimated from market size
Montreal Alouettes,CFL,33,2025,No reliable published figure found,,speculative,low,"Owned by Pierre Karl Peladeau since 2023; no financials disclosed. Revenue roughly estimated near CAD30m, 1.5x multiple, CAD to USD 0.73.",no source: revenue estimated from market size
Edmonton Elks,CFL,24,2025,No reliable published figure found,,speculative,low,"Sold to Larry Thompson's group in 2023 for an undisclosed price. Revenue roughly estimated near CAD22m given recent attendance struggles, 1.5x multiple, CAD to USD 0.73.",no source: revenue estimated from market size
Calgary Stampeders,CFL,35,2025,No reliable published figure found,,speculative,low,"Owned by Calgary Sports and Entertainment Corporation; no financials disclosed. Revenue roughly estimated near CAD32m, 1.5x multiple, CAD to USD 0.73.",no source: revenue estimated from market size
Ottawa Redblacks,CFL,27,2025,No reliable published figure found,,speculative,low,"Owned by OSEG; no financials disclosed. Revenue roughly estimated near CAD25m, 1.5x multiple, CAD to USD 0.73.",no source: revenue estimated from market size
Hamilton Tiger-Cats,CFL,31,2025,No reliable published figure found,,speculative,low,"Privately owned by the Tiger-Cats Football Club; no verifiable financials found. Revenue roughly estimated near CAD28m, 1.5x multiple, CAD to USD 0.73.",no source: revenue estimated from market size
Anadolu Efes,EuroLeague,265,2026,Eurohoops JB Capital EuroLeague valuation report,https://www.eurohoops.net/en/euroleague/1981503/euroleague-updates-on-franchises-and-expansion/,transaction,medium,"JB Capital estimates combined enterprise value of EuroLeague and its 13 founding-license clubs near EUR3.2bn, implying about EUR245m per club on average; applied uniformly to permanent-license holders. EUR/USD 1.08.","flat average of an aggregate valuation, not club-specific"
Fenerbahçe Basketball,EuroLeague,265,2026,Eurohoops JB Capital EuroLeague valuation report,https://www.eurohoops.net/en/euroleague/1981503/euroleague-updates-on-franchises-and-expansion/,transaction,medium,Same JB Capital average-per-founding-club figure of about EUR245m applied. EUR/USD 1.08. Fenerbahce also signed a new 10-year license.,"flat average of an aggregate valuation, not club-specific"
Panathinaikos BC,EuroLeague,265,2026,Eurohoops JB Capital EuroLeague valuation report,https://www.eurohoops.net/en/euroleague/1981503/euroleague-updates-on-franchises-and-expansion/,transaction,medium,Same JB Capital average-per-founding-club figure of about EUR245m applied. EUR/USD 1.08. Panathinaikos also fields the league's top player payroll.,"flat average of an aggregate valuation, not club-specific"
Olimpia Milano,EuroLeague,265,2026,Eurohoops JB Capital EuroLeague valuation report,https://www.eurohoops.net/en/euroleague/1981503/euroleague-updates-on-franchises-and-expansion/,transaction,medium,Same JB Capital average-per-founding-club figure of about EUR245m applied. EUR/USD 1.08.,"flat average of an aggregate valuation, not club-specific"
Olympiacos BC,EuroLeague,265,2026,Eurohoops JB Capital EuroLeague valuation report,https://www.eurohoops.net/en/euroleague/1981503/euroleague-updates-on-franchises-and-expansion/,transaction,medium,Same JB Capital average-per-founding-club figure of about EUR245m applied. EUR/USD 1.08.,"flat average of an aggregate valuation, not club-specific"
Real Madrid Baloncesto,EuroLeague,265,2026,Eurohoops JB Capital EuroLeague valuation report,https://www.eurohoops.net/en/euroleague/1981503/euroleague-updates-on-franchises-and-expansion/,transaction,medium,Same JB Capital average-per-founding-club figure of about EUR245m applied; likely understates Real Madrid basketball section given club's overall scale. EUR/USD 1.08.,"flat average of an aggregate valuation, not club-specific"
Saski Baskonia,EuroLeague,265,2026,Eurohoops JB Capital EuroLeague valuation report,https://www.eurohoops.net/en/euroleague/1981503/euroleague-updates-on-franchises-and-expansion/,transaction,medium,Same JB Capital average-per-founding-club figure of about EUR245m applied despite Baskonia having one of the league's smallest payrolls. EUR/USD 1.08.,"flat average of an aggregate valuation, not club-specific"
Maccabi Tel Aviv BC,EuroLeague,265,2026,Eurohoops JB Capital EuroLeague valuation report,https://www.eurohoops.net/en/euroleague/1981503/euroleague-updates-on-franchises-and-expansion/,transaction,medium,Same JB Capital average-per-founding-club figure of about EUR245m applied. EUR/USD 1.08.,"flat average of an aggregate valuation, not club-specific"
FC Barcelona Basquet,EuroLeague,265,2026,Eurohoops JB Capital EuroLeague valuation report,https://www.eurohoops.net/en/euroleague/1981503/euroleague-updates-on-franchises-and-expansion/,transaction,medium,Same JB Capital average-per-founding-club figure of about EUR245m applied; likely understates Barcelona basketball section given club's overall scale. EUR/USD 1.08.,"flat average of an aggregate valuation, not club-specific"
BC Žalgiris,EuroLeague,265,2026,Eurohoops JB Capital EuroLeague valuation report,https://www.eurohoops.net/en/euroleague/1981503/euroleague-updates-on-franchises-and-expansion/,transaction,medium,Same JB Capital average-per-founding-club figure of about EUR245m applied despite Zalgiris having a mid-table payroll. EUR/USD 1.08.,"flat average of an aggregate valuation, not club-specific"
